clk = 0 | reset = 1 | count = 000 or 0
clk = 1 | reset = 1 | count = 000 or 0
clk = 0 | reset = 0 | count = 000 or 0
clk = 1 | reset = 0 | count = 001 or 1
clk = 0 | reset = 0 | count = 001 or 1
clk = 1 | reset = 0 | count = 010 or 2
clk = 0 | reset = 0 | count = 010 or 2
clk = 1 | reset = 0 | count = 011 or 3
clk = 0 | reset = 0 | count = 011 or 3
clk = 1 | reset = 0 | count = 100 or 4
clk = 0 | reset = 0 | count = 100 or 4
clk = 1 | reset = 0 | count = 101 or 5
clk = 0 | reset = 0 | count = 101 or 5
clk = 1 | reset = 0 | count = 110 or 6
clk = 0 | reset = 0 | count = 110 or 6
clk = 1 | reset = 0 | count = 111 or 7
clk = 0 | reset = 0 | count = 111 or 7
clk = 1 | reset = 0 | count = 000 or 0
clk = 0 | reset = 0 | count = 000 or 0
clk = 1 | reset = 0 | count = 001 or 1
clk = 0 | reset = 0 | count = 001 or 1
clk = 1 | reset = 0 | count = 010 or 2
clk = 0 | reset = 0 | count = 010 or 2
clk = 1 | reset = 0 | count = 011 or 3
clk = 0 | reset = 0 | count = 011 or 3
clk = 1 | reset = 0 | count = 100 or 4
clk = 0 | reset = 0 | count = 100 or 4
clk = 1 | reset = 0 | count = 101 or 5
clk = 0 | reset = 0 | count = 101 or 5
clk = 1 | reset = 0 | count = 110 or 6
clk = 0 | reset = 0 | count = 110 or 6
clk = 1 | reset = 0 | count = 111 or 7
clk = 0 | reset = 0 | count = 111 or 7
clk = 1 | reset = 0 | count = 000 or 0
clk = 0 | reset = 0 | count = 000 or 0
clk = 1 | reset = 0 | count = 001 or 1
clk = 0 | reset = 0 | count = 001 or 1
clk = 1 | reset = 0 | count = 010 or 2
clk = 0 | reset = 1 | count = 010 or 2
clk = 1 | reset = 1 | count = 000 or 0
clk = 0 | reset = 0 | count = 000 or 0
clk = 1 | reset = 0 | count = 001 or 1
clk = 0 | reset = 0 | count = 001 or 1
clk = 1 | reset = 0 | count = 010 or 2
counter_3_bit_tb.v:33: $finish called at 220 (1s)
clk = 0 | reset = 0 | count = 010 or 2
